Sector,Count Type,Year,State,Value
RESIDENTIAL,Revenues,2021,CA,5689194
RESIDENTIAL,Revenues,2021,CT,553396
RESIDENTIAL,Revenues,2021,DC,89833
RESIDENTIAL,Revenues,2021,DE,50393
RESIDENTIAL,Revenues,2021,IL,1966011
RESIDENTIAL,Revenues,2021,MA,2377043
RESIDENTIAL,Revenues,2021,MD,681667
RESIDENTIAL,Revenues,2021,ME,97346
RESIDENTIAL,Revenues,2021,MI,115
RESIDENTIAL,Revenues,2021,MT,1
RESIDENTIAL,Revenues,2021,NH,151416
RESIDENTIAL,Revenues,2021,NJ,547001
RESIDENTIAL,Revenues,2021,NV,0
RESIDENTIAL,Revenues,2021,NY,1483267
RESIDENTIAL,Revenues,2021,OH,3350197
RESIDENTIAL,Revenues,2021,OR,0
RESIDENTIAL,Revenues,2021,PA,2344799
RESIDENTIAL,Revenues,2021,RI,64996
RESIDENTIAL,Revenues,2021,VA,0
RESIDENTIAL,Revenues,2021,WA,0
RESIDENTIAL,Revenues,2021,US,19446674
RESIDENTIAL,Revenues,2020,CA,5073830
RESIDENTIAL,Revenues,2020,CT,809930
RESIDENTIAL,Revenues,2020,DC,88087
RESIDENTIAL,Revenues,2020,DE,47643
RESIDENTIAL,Revenues,2020,IL,2091316
RESIDENTIAL,Revenues,2020,MA,2033309
RESIDENTIAL,Revenues,2020,MD,691717
RESIDENTIAL,Revenues,2020,ME,100232
RESIDENTIAL,Revenues,2020,MI,0
RESIDENTIAL,Revenues,2020,MT,1
RESIDENTIAL,Revenues,2020,NH,162754
RESIDENTIAL,Revenues,2020,NJ,638615
RESIDENTIAL,Revenues,2020,NV,0
RESIDENTIAL,Revenues,2020,NY,1621175
RESIDENTIAL,Revenues,2020,OH,3044154
RESIDENTIAL,Revenues,2020,OR,0
RESIDENTIAL,Revenues,2020,PA,2447614
RESIDENTIAL,Revenues,2020,RI,70760
RESIDENTIAL,Revenues,2020,VA,0
RESIDENTIAL,Revenues,2020,WA,0
RESIDENTIAL,Revenues,2020,US,18921135
RESIDENTIAL,Revenues,2019,CA,3826564
RESIDENTIAL,Revenues,2019,CT,729434
RESIDENTIAL,Revenues,2019,DC,92737
RESIDENTIAL,Revenues,2019,DE,43176
RESIDENTIAL,Revenues,2019,IL,2187536
RESIDENTIAL,Revenues,2019,MA,1791469
RESIDENTIAL,Revenues,2019,MD,735473
RESIDENTIAL,Revenues,2019,ME,110964
RESIDENTIAL,Revenues,2019,MI,100
RESIDENTIAL,Revenues,2019,MT,1
RESIDENTIAL,Revenues,2019,NH,172826
RESIDENTIAL,Revenues,2019,NJ,591060
RESIDENTIAL,Revenues,2019,NV,0
RESIDENTIAL,Revenues,2019,NY,1598639
RESIDENTIAL,Revenues,2019,OH,3052515
RESIDENTIAL,Revenues,2019,OR,0
RESIDENTIAL,Revenues,2019,PA,2561857
RESIDENTIAL,Revenues,2019,RI,74305
RESIDENTIAL,Revenues,2019,VA,0
RESIDENTIAL,Revenues,2019,WA,0
