Sector,Count Type,Year,State,Value
RESIDENTIAL,Revenues,2021,CA,4022149
RESIDENTIAL,Revenues,2021,CT,334759
RESIDENTIAL,Revenues,2021,DC,26282
RESIDENTIAL,Revenues,2021,DE,19919
RESIDENTIAL,Revenues,2021,IL,883533
RESIDENTIAL,Revenues,2021,MA,1240662
RESIDENTIAL,Revenues,2021,MD,249890
RESIDENTIAL,Revenues,2021,ME,46943
RESIDENTIAL,Revenues,2021,MI,50
RESIDENTIAL,Revenues,2021,MT,0
RESIDENTIAL,Revenues,2021,NH,77809
RESIDENTIAL,Revenues,2021,NJ,158191
RESIDENTIAL,Revenues,2021,NV,0
RESIDENTIAL,Revenues,2021,NY,843066
RESIDENTIAL,Revenues,2021,OH,1794669
RESIDENTIAL,Revenues,2021,OR,0
RESIDENTIAL,Revenues,2021,PA,966642
RESIDENTIAL,Revenues,2021,RI,32364
RESIDENTIAL,Revenues,2021,VA,0
RESIDENTIAL,Revenues,2021,WA,0
RESIDENTIAL,Revenues,2021,US,10696929
RESIDENTIAL,Revenues,2020,CA,3264551
RESIDENTIAL,Revenues,2020,CT,499668
RESIDENTIAL,Revenues,2020,DC,27489
RESIDENTIAL,Revenues,2020,DE,18575
RESIDENTIAL,Revenues,2020,IL,917047
RESIDENTIAL,Revenues,2020,MA,1004683
RESIDENTIAL,Revenues,2020,MD,262459
RESIDENTIAL,Revenues,2020,ME,44934
RESIDENTIAL,Revenues,2020,MI,0
RESIDENTIAL,Revenues,2020,MT,0
RESIDENTIAL,Revenues,2020,NH,78309
RESIDENTIAL,Revenues,2020,NJ,184136
RESIDENTIAL,Revenues,2020,NV,0
RESIDENTIAL,Revenues,2020,NY,932638
RESIDENTIAL,Revenues,2020,OH,1599168
RESIDENTIAL,Revenues,2020,OR,0
RESIDENTIAL,Revenues,2020,PA,1035750
RESIDENTIAL,Revenues,2020,RI,34282
RESIDENTIAL,Revenues,2020,VA,0
RESIDENTIAL,Revenues,2020,WA,0
RESIDENTIAL,Revenues,2020,US,9903690
RESIDENTIAL,Revenues,2019,CA,2446520
RESIDENTIAL,Revenues,2019,CT,405701
RESIDENTIAL,Revenues,2019,DC,27420
RESIDENTIAL,Revenues,2019,DE,16322
RESIDENTIAL,Revenues,2019,IL,960560
RESIDENTIAL,Revenues,2019,MA,855231
RESIDENTIAL,Revenues,2019,MD,266818
RESIDENTIAL,Revenues,2019,ME,46822
RESIDENTIAL,Revenues,2019,MI,44
RESIDENTIAL,Revenues,2019,MT,0
RESIDENTIAL,Revenues,2019,NH,80885
RESIDENTIAL,Revenues,2019,NJ,164911
RESIDENTIAL,Revenues,2019,NV,0
RESIDENTIAL,Revenues,2019,NY,900444
RESIDENTIAL,Revenues,2019,OH,1568636
RESIDENTIAL,Revenues,2019,OR,0
RESIDENTIAL,Revenues,2019,PA,1076805
RESIDENTIAL,Revenues,2019,RI,33356
RESIDENTIAL,Revenues,2019,VA,0
RESIDENTIAL,Revenues,2019,WA,0
RESIDENTIAL,Revenues,2019,US,8850475
RESIDENTIAL,Revenues,2018,CA,1268023
RESIDENTIAL,Revenues,2018,CT,440963
RESIDENTIAL,Revenues,2018,DC,26498
RESIDENTIAL,Revenues,2018,DE,17054
RESIDENTIAL,Revenues,2018,IL,938730
RESIDENTIAL,Revenues,2018,MA,867686
RESIDENTIAL,Revenues,2018,MD,276100
RESIDENTIAL,Revenues,2018,ME,55116
RESIDENTIAL,Revenues,2018,MI,26
RESIDENTIAL,Revenues,2018,MT,0
RESIDENTIAL,Revenues,2018,NH,91919
RESIDENTIAL,Revenues,2018,NJ,177248
RESIDENTIAL,Revenues,2018,NV,0
RESIDENTIAL,Revenues,2018,NY,967293
RESIDENTIAL,Revenues,2018,OH,1673589
RESIDENTIAL,Revenues,2018,OR,0
RESIDENTIAL,Revenues,2018,PA,1202232
RESIDENTIAL,Revenues,2018,RI,36680
RESIDENTIAL,Revenues,2018,VA,0
RESIDENTIAL,Revenues,2018,WA,0
RESIDENTIAL,Revenues,2018,US,8039156
RESIDENTIAL,Revenues,2017,CA,706611
RESIDENTIAL,Revenues,2017,CT,463812
RESIDENTIAL,Revenues,2017,DC,25360
RESIDENTIAL,Revenues,2017,DE,17754
RESIDENTIAL,Revenues,2017,IL,984864
RESIDENTIAL,Revenues,2017,MA,720817
RESIDENTIAL,Revenues,2017,MD,284433
RESIDENTIAL,Revenues,2017,ME,60524
RESIDENTIAL,Revenues,2017,MI,26
RESIDENTIAL,Revenues,2017,MT,1
RESIDENTIAL,Revenues,2017,NH,67801
RESIDENTIAL,Revenues,2017,NJ,205558
RESIDENTIAL,Revenues,2017,NV,0
RESIDENTIAL,Revenues,2017,NY,981271
RESIDENTIAL,Revenues,2017,OH,1446606
RESIDENTIAL,Revenues,2017,OR,0
RESIDENTIAL,Revenues,2017,PA,1229592
RESIDENTIAL,Revenues,2017,RI,37275
RESIDENTIAL,Revenues,2017,VA,0
RESIDENTIAL,Revenues,2017,WA,0
RESIDENTIAL,Revenues,2017,US,7232305
RESIDENTIAL,Revenues,2016,CA,274953
RESIDENTIAL,Revenues,2016,CT,483889
RESIDENTIAL,Revenues,2016,DC,24792
RESIDENTIAL,Revenues,2016,DE,15927
RESIDENTIAL,Revenues,2016,IL,1084025
RESIDENTIAL,Revenues,2016,MA,624179
RESIDENTIAL,Revenues,2016,MD,285414
RESIDENTIAL,Revenues,2016,ME,66073
RESIDENTIAL,Revenues,2016,MI,29
RESIDENTIAL,Revenues,2016,MT,1
RESIDENTIAL,Revenues,2016,NH,52862
RESIDENTIAL,Revenues,2016,NJ,187934
RESIDENTIAL,Revenues,2016,NV,0
RESIDENTIAL,Revenues,2016,NY,1024553
RESIDENTIAL,Revenues,2016,OH,1373357
RESIDENTIAL,Revenues,2016,OR,0
RESIDENTIAL,Revenues,2016,PA,1205265
RESIDENTIAL,Revenues,2016,RI,31639
RESIDENTIAL,Revenues,2016,VA,0
RESIDENTIAL,Revenues,2016,WA,0
RESIDENTIAL,Revenues,2016,US,6734890
RESIDENTIAL,Revenues,2015,CA,179418
RESIDENTIAL,Revenues,2015,CT,462277
RESIDENTIAL,Revenues,2015,DC,24289
RESIDENTIAL,Revenues,2015,DE,16714
RESIDENTIAL,Revenues,2015,IL,1253084
RESIDENTIAL,Revenues,2015,MA,378582
RESIDENTIAL,Revenues,2015,MD,287654
RESIDENTIAL,Revenues,2015,ME,74553
RESIDENTIAL,Revenues,2015,MI,32
RESIDENTIAL,Revenues,2015,MT,0
RESIDENTIAL,Revenues,2015,NH,51844
RESIDENTIAL,Revenues,2015,NJ,182473
RESIDENTIAL,Revenues,2015,NV,0
RESIDENTIAL,Revenues,2015,NY,1004895
RESIDENTIAL,Revenues,2015,OH,1324374
RESIDENTIAL,Revenues,2015,OR,0
