Sector,Count Type,Year,State,Value
RESIDENTIAL,Revenues,2021,CA,1667045
RESIDENTIAL,Revenues,2021,CT,218637
RESIDENTIAL,Revenues,2021,DC,63551
RESIDENTIAL,Revenues,2021,DE,30474
RESIDENTIAL,Revenues,2021,IL,1082478
RESIDENTIAL,Revenues,2021,MA,1136381
RESIDENTIAL,Revenues,2021,MD,431777
RESIDENTIAL,Revenues,2021,ME,50403
RESIDENTIAL,Revenues,2021,MI,66
RESIDENTIAL,Revenues,2021,MT,0
RESIDENTIAL,Revenues,2021,NH,73607
RESIDENTIAL,Revenues,2021,NJ,388810
RESIDENTIAL,Revenues,2021,NV,0
RESIDENTIAL,Revenues,2021,NY,640202
RESIDENTIAL,Revenues,2021,OH,1555527
RESIDENTIAL,Revenues,2021,OR,0
RESIDENTIAL,Revenues,2021,PA,1378157
RESIDENTIAL,Revenues,2021,RI,32632
RESIDENTIAL,Revenues,2021,VA,0
RESIDENTIAL,Revenues,2021,WA,0
RESIDENTIAL,Revenues,2021,US,8749746
RESIDENTIAL,Revenues,2020,CA,1809279
RESIDENTIAL,Revenues,2020,CT,310262
RESIDENTIAL,Revenues,2020,DC,60598
RESIDENTIAL,Revenues,2020,DE,29068
RESIDENTIAL,Revenues,2020,IL,1174269
RESIDENTIAL,Revenues,2020,MA,1028626
RESIDENTIAL,Revenues,2020,MD,429258
RESIDENTIAL,Revenues,2020,ME,55298
RESIDENTIAL,Revenues,2020,MI,0
RESIDENTIAL,Revenues,2020,MT,1
RESIDENTIAL,Revenues,2020,NH,84444
RESIDENTIAL,Revenues,2020,NJ,454479
RESIDENTIAL,Revenues,2020,NV,0
RESIDENTIAL,Revenues,2020,NY,688537
RESIDENTIAL,Revenues,2020,OH,1444986
RESIDENTIAL,Revenues,2020,OR,0
RESIDENTIAL,Revenues,2020,PA,1411864
RESIDENTIAL,Revenues,2020,RI,36478
RESIDENTIAL,Revenues,2020,VA,0
RESIDENTIAL,Revenues,2020,WA,0
RESIDENTIAL,Revenues,2020,US,9017445
RESIDENTIAL,Revenues,2019,CA,1380044
RESIDENTIAL,Revenues,2019,CT,323733
RESIDENTIAL,Revenues,2019,DC,65316
RESIDENTIAL,Revenues,2019,DE,26855
RESIDENTIAL,Revenues,2019,IL,1226977
RESIDENTIAL,Revenues,2019,MA,936238
RESIDENTIAL,Revenues,2019,MD,468655
RESIDENTIAL,Revenues,2019,ME,64142
RESIDENTIAL,Revenues,2019,MI,56
RESIDENTIAL,Revenues,2019,MT,0
RESIDENTIAL,Revenues,2019,NH,91941
RESIDENTIAL,Revenues,2019,NJ,426149
RESIDENTIAL,Revenues,2019,NV,0
RESIDENTIAL,Revenues,2019,NY,698195
RESIDENTIAL,Revenues,2019,OH,1483879
RESIDENTIAL,Revenues,2019,OR,0
RESIDENTIAL,Revenues,2019,PA,1485051
RESIDENTIAL,Revenues,2019,RI,40949
RESIDENTIAL,Revenues,2019,VA,0
RESIDENTIAL,Revenues,2019,WA,0
RESIDENTIAL,Revenues,2019,US,8718179
RESIDENTIAL,Revenues,2018,CA,570215
RESIDENTIAL,Revenues,2018,CT,348297
RESIDENTIAL,Revenues,2018,DC,68017
RESIDENTIAL,Revenues,2018,DE,28677
RESIDENTIAL,Revenues,2018,IL,1301800
RESIDENTIAL,Revenues,2018,MA,970984
RESIDENTIAL,Revenues,2018,MD,501417
RESIDENTIAL,Revenues,2018,ME,67041
RESIDENTIAL,Revenues,2018,MI,31
RESIDENTIAL,Revenues,2018,MT,0
RESIDENTIAL,Revenues,2018,NH,104037
RESIDENTIAL,Revenues,2018,NJ,467859
RESIDENTIAL,Revenues,2018,NV,0
RESIDENTIAL,Revenues,2018,NY,792015
RESIDENTIAL,Revenues,2018,OH,1560123
RESIDENTIAL,Revenues,2018,OR,0
RESIDENTIAL,Revenues,2018,PA,1615731
RESIDENTIAL,Revenues,2018,RI,41278
RESIDENTIAL,Revenues,2018,VA,0
RESIDENTIAL,Revenues,2018,WA,0
RESIDENTIAL,Revenues,2018,US,8437521
RESIDENTIAL,Revenues,2017,CA,339673
RESIDENTIAL,Revenues,2017,CT,336253
RESIDENTIAL,Revenues,2017,DC,63451
RESIDENTIAL,Revenues,2017,DE,31216
RESIDENTIAL,Revenues,2017,IL,1203277
RESIDENTIAL,Revenues,2017,MA,767447
RESIDENTIAL,Revenues,2017,MD,498787
RESIDENTIAL,Revenues,2017,ME,67804
RESIDENTIAL,Revenues,2017,MI,32
RESIDENTIAL,Revenues,2017,MT,1
RESIDENTIAL,Revenues,2017,NH,93104
RESIDENTIAL,Revenues,2017,NJ,507716
RESIDENTIAL,Revenues,2017,NV,0
RESIDENTIAL,Revenues,2017,NY,804816
RESIDENTIAL,Revenues,2017,OH,1386302
RESIDENTIAL,Revenues,2017,OR,0
RESIDENTIAL,Revenues,2017,PA,1529183
RESIDENTIAL,Revenues,2017,RI,37434
RESIDENTIAL,Revenues,2017,VA,0
RESIDENTIAL,Revenues,2017,WA,0
RESIDENTIAL,Revenues,2017,US,7666494
RESIDENTIAL,Revenues,2016,CA,153624
RESIDENTIAL,Revenues,2016,CT,398237
RESIDENTIAL,Revenues,2016,DC,63415
RESIDENTIAL,Revenues,2016,DE,32919
RESIDENTIAL,Revenues,2016,IL,1385037
RESIDENTIAL,Revenues,2016,MA,709220
RESIDENTIAL,Revenues,2016,MD,553991
RESIDENTIAL,Revenues,2016,ME,81096
RESIDENTIAL,Revenues,2016,MI,32
RESIDENTIAL,Revenues,2016,MT,1
RESIDENTIAL,Revenues,2016,NH,84210
RESIDENTIAL,Revenues,2016,NJ,487613
RESIDENTIAL,Revenues,2016,NV,0
RESIDENTIAL,Revenues,2016,NY,876101
RESIDENTIAL,Revenues,2016,OH,1455490
RESIDENTIAL,Revenues,2016,OR,0
RESIDENTIAL,Revenues,2016,PA,1627764
RESIDENTIAL,Revenues,2016,RI,38352
RESIDENTIAL,Revenues,2016,VA,0
RESIDENTIAL,Revenues,2016,WA,0
RESIDENTIAL,Revenues,2016,US,7947103
RESIDENTIAL,Revenues,2015,CA,138554
RESIDENTIAL,Revenues,2015,CT,532554
RESIDENTIAL,Revenues,2015,DC,63761
RESIDENTIAL,Revenues,2015,DE,35368
RESIDENTIAL,Revenues,2015,IL,1416051
RESIDENTIAL,Revenues,2015,MA,595681
RESIDENTIAL,Revenues,2015,MD,603475
RESIDENTIAL,Revenues,2015,ME,100608
RESIDENTIAL,Revenues,2015,MI,31
RESIDENTIAL,Revenues,2015,MT,0
RESIDENTIAL,Revenues,2015,NH,88871
RESIDENTIAL,Revenues,2015,NJ,478621
RESIDENTIAL,Revenues,2015,NV,0
RESIDENTIAL,Revenues,2015,NY,1065983
RESIDENTIAL,Revenues,2015,OH,1548763
RESIDENTIAL,Revenues,2015,OR,0
RESIDENTIAL,Revenues,2015,PA,1728230
RESIDENTIAL,Revenues,2015,RI,31518
RESIDENTIAL,Revenues,2015,VA,0
RESIDENTIAL,Revenues,2015,WA,0
RESIDENTIAL,Revenues,2015,US,8428069
RESIDENTIAL,Revenues,2014,CA,54974
RESIDENTIAL,Revenues,2014,CT,577551
RESIDENTIAL,Revenues,2014,DC,33994
RESIDENTIAL,Revenues,2014,DE,33950
RESIDENTIAL,Revenues,2014,IL,1714309
RESIDENTIAL,Revenues,2014,MA,340747
RESIDENTIAL,Revenues,2014,MD,662749
RESIDENTIAL,Revenues,2014,ME,339041
RESIDENTIAL,Revenues,2014,MI,42
RESIDENTIAL,Revenues,2014,MT,0
RESIDENTIAL,Revenues,2014,NH,82117
RESIDENTIAL,Revenues,2014,NJ,596448
RESIDENTIAL,Revenues,2014,NV,0
RESIDENTIAL,Revenues,2014,NY,1200519
RESIDENTIAL,Revenues,2014,OH,1530066
RESIDENTIAL,Revenues,2014,OR,0
RESIDENTIAL,Revenues,2014,PA,1893483
RESIDENTIAL,Revenues,2014,RI,18969
RESIDENTIAL,Revenues,2014,VA,0
RESIDENTIAL,Revenues,2014,WA,0
RESIDENTIAL,Revenues,2014,US,9078957
RESIDENTIAL,Revenues,2013,CA,46596
RESIDENTIAL,Revenues,2013,CT,551050
RESIDENTIAL,Revenues,2013,DC,31176
RESIDENTIAL,Revenues,2013,DE,19849
RESIDENTIAL,Revenues,2013,IL,1382330
RESIDENTIAL,Revenues,2013,MA,268773
RESIDENTIAL,Revenues,2013,MD,611690
RESIDENTIAL,Revenues,2013,ME,309797
RESIDENTIAL,Revenues,2013,MI,44
RESIDENTIAL,Revenues,2013,MT,1
RESIDENTIAL,Revenues,2013,NH,55781
RESIDENTIAL,Revenues,2013,NJ,565490
RESIDENTIAL,Revenues,2013,NV,0
RESIDENTIAL,Revenues,2013,NY,990105
RESIDENTIAL,Revenues,2013,OH,1314170
RESIDENTIAL,Revenues,2013,OR,0
RESIDENTIAL,Revenues,2013,PA,1601635
RESIDENTIAL,Revenues,2013,RI,6961
RESIDENTIAL,Revenues,2013,WA,0
RESIDENTIAL,Revenues,2013,US,7755451
RESIDENTIAL,Revenues,2012,CA,30719
RESIDENTIAL,Revenues,2012,CT,508418
RESIDENTIAL,Revenues,2012,DC,26018
RESIDENTIAL,Revenues,2012,DE,14278
RESIDENTIAL,Revenues,2012,IL,499325
RESIDENTIAL,Revenues,2012,MA,215015
RESIDENTIAL,Revenues,2012,MD,492464
RESIDENTIAL,Revenues,2012,ME,326595
RESIDENTIAL,Revenues,2012,MI,57
RESIDENTIAL,Revenues,2012,MT,7
RESIDENTIAL,Revenues,2012,NH,8409
RESIDENTIAL,Revenues,2012,NJ,457197
RESIDENTIAL,Revenues,2012,NV,0
RESIDENTIAL,Revenues,2012,NY,811190
RESIDENTIAL,Revenues,2012,OH,1116815
RESIDENTIAL,Revenues,2012,OR,0
RESIDENTIAL,Revenues,2012,PA,1266216
RESIDENTIAL,Revenues,2012,RI,3607
RESIDENTIAL,Revenues,2012,WA,0
RESIDENTIAL,Revenues,2012,US,5776328
RESIDENTIAL,Revenues,2011,CA,22748
RESIDENTIAL,Revenues,2011,CT,521354
RESIDENTIAL,Revenues,2011,DC,15060
RESIDENTIAL,Revenues,2011,DE,10405
RESIDENTIAL,Revenues,2011,IL,57602
RESIDENTIAL,Revenues,2011,MA,183659
RESIDENTIAL,Revenues,2011,MD,417454
RESIDENTIAL,Revenues,2011,ME,362022
RESIDENTIAL,Revenues,2011,MI,64
RESIDENTIAL,Revenues,2011,MT,8
RESIDENTIAL,Revenues,2011,NH,941
RESIDENTIAL,Revenues,2011,NJ,304394
RESIDENTIAL,Revenues,2011,NV,0
RESIDENTIAL,Revenues,2011,NY,796986
RESIDENTIAL,Revenues,2011,OH,966783
RESIDENTIAL,Revenues,2011,OR,0
RESIDENTIAL,Revenues,2011,PA,915886
RESIDENTIAL,Revenues,2011,RI,2402
RESIDENTIAL,Revenues,2011,WA,0
RESIDENTIAL,Revenues,2011,US,4577767
RESIDENTIAL,Revenues,2010,CA,17294
RESIDENTIAL,Revenues,2010,CT,391973
RESIDENTIAL,Revenues,2010,DC,11634
RESIDENTIAL,Revenues,2010,DE,9274
RESIDENTIAL,Revenues,2010,ID,0
RESIDENTIAL,Revenues,2010,IL,839
RESIDENTIAL,Revenues,2010,MA,212101
RESIDENTIAL,Revenues,2010,MD,242389
RESIDENTIAL,Revenues,2010,ME,380627
RESIDENTIAL,Revenues,2010,MI,68
RESIDENTIAL,Revenues,2010,MT,7
RESIDENTIAL,Revenues,2010,NH,969
RESIDENTIAL,Revenues,2010,NJ,40639
RESIDENTIAL,Revenues,2010,NV,0
RESIDENTIAL,Revenues,2010,NY,787518
RESIDENTIAL,Revenues,2010,OH,667260
RESIDENTIAL,Revenues,2010,OR,0
RESIDENTIAL,Revenues,2010,PA,462590
RESIDENTIAL,Revenues,2010,RI,1193
RESIDENTIAL,Revenues,2010,WA,0
RESIDENTIAL,Revenues,2010,US,3226374
RESIDENTIAL,Sales,2021,CA,22126844
RESIDENTIAL,Sales,2021,CT,2353264
RESIDENTIAL,Sales,2021,DC,549910
RESIDENTIAL,Sales,2021,DE,326942
RESIDENTIAL,Sales,2021,IL,14737629
RESIDENTIAL,Sales,2021,MA,9658818
RESIDENTIAL,Sales,2021,MD,4500989
RESIDENTIAL,Sales,2021,ME,464066
RESIDENTIAL,Sales,2021,MI,654
RESIDENTIAL,Sales,2021,MT,6
RESIDENTIAL,Sales,2021,NH,653699
RESIDENTIAL,Sales,2021,NJ,3101018
RESIDENTIAL,Sales,2021,NV,0
RESIDENTIAL,Sales,2021,NY,6852792
RESIDENTIAL,Sales,2021,OH,25783000
RESIDENTIAL,Sales,2021,OR,0
RESIDENTIAL,Sales,2021,PA,14889389
RESIDENTIAL,Sales,2021,RI,260113
RESIDENTIAL,Sales,2021,VA,0
RESIDENTIAL,Sales,2021,WA,0
RESIDENTIAL,Sales,2021,US,106259133
RESIDENTIAL,Sales,2020,CA,22641791
RESIDENTIAL,Sales,2020,CT,3192076
RESIDENTIAL,Sales,2020,DC,571075
RESIDENTIAL,Sales,2020,DE,325321
RESIDENTIAL,Sales,2020,IL,15226571
RESIDENTIAL,Sales,2020,MA,8579937
RESIDENTIAL,Sales,2020,MD,4671483
RESIDENTIAL,Sales,2020,ME,495056
RESIDENTIAL,Sales,2020,MI,0
RESIDENTIAL,Sales,2020,MT,7
RESIDENTIAL,Sales,2020,NH,740389
RESIDENTIAL,Sales,2020,NJ,3852735
RESIDENTIAL,Sales,2020,NV,0
RESIDENTIAL,Sales,2020,NY,7539528
RESIDENTIAL,Sales,2020,OH,24671539
RESIDENTIAL,Sales,2020,OR,0
RESIDENTIAL,Sales,2020,PA,16029864
RESIDENTIAL,Sales,2020,RI,288500
RESIDENTIAL,Sales,2020,VA,0
RESIDENTIAL,Sales,2020,WA,0
RESIDENTIAL,Sales,2020,US,108825872
RESIDENTIAL,Sales,2019,CA,18333181
RESIDENTIAL,Sales,2019,CT,3148909
RESIDENTIAL,Sales,2019,DC,591583
RESIDENTIAL,Sales,2019,DE,295839
RESIDENTIAL,Sales,2019,IL,15975833
RESIDENTIAL,Sales,2019,MA,7555784
RESIDENTIAL,Sales,2019,MD,4928299
RESIDENTIAL,Sales,2019,ME,550717
RESIDENTIAL,Sales,2019,MI,627
RESIDENTIAL,Sales,2019,MT,7
RESIDENTIAL,Sales,2019,NH,784067
RESIDENTIAL,Sales,2019,NJ,3456920
RESIDENTIAL,Sales,2019,NV,0
RESIDENTIAL,Sales,2019,NY,7626758
RESIDENTIAL,Sales,2019,OH,24240662
RESIDENTIAL,Sales,2019,OR,0
RESIDENTIAL,Sales,2019,PA,16555077
RESIDENTIAL,Sales,2019,RI,307299
RESIDENTIAL,Sales,2019,VA,0
RESIDENTIAL,Sales,2019,WA,0
RESIDENTIAL,Sales,2019,US,104351562
RESIDENTIAL,Sales,2018,CA,8526720
RESIDENTIAL,Sales,2018,CT,3520450
RESIDENTIAL,Sales,2018,DC,623821
RESIDENTIAL,Sales,2018,DE,315673
RESIDENTIAL,Sales,2018,IL,17152625
RESIDENTIAL,Sales,2018,MA,7954073
RESIDENTIAL,Sales,2018,MD,5233398
RESIDENTIAL,Sales,2018,ME,651944
RESIDENTIAL,Sales,2018,MI,367
RESIDENTIAL,Sales,2018,MT,6
RESIDENTIAL,Sales,2018,NH,924666
RESIDENTIAL,Sales,2018,NJ,3821995
RESIDENTIAL,Sales,2018,NV,0
RESIDENTIAL,Sales,2018,NY,8289915
RESIDENTIAL,Sales,2018,OH,25290120
RESIDENTIAL,Sales,2018,OR,0
RESIDENTIAL,Sales,2018,PA,18403932
RESIDENTIAL,Sales,2018,RI,350823
RESIDENTIAL,Sales,2018,VA,0
RESIDENTIAL,Sales,2018,WA,0
RESIDENTIAL,Sales,2018,US,101060528
RESIDENTIAL,Sales,2017,CA,4991769
RESIDENTIAL,Sales,2017,CT,3742620
RESIDENTIAL,Sales,2017,DC,585331
